label,difficulty,idx,ssim,clip
easy/0,easy,0,0.9555856618266982,0.9606978893280029
easy/1,easy,1,0.9031285961668787,0.7869994640350342
easy/2,easy,2,0.9478502766261672,0.8838250637054443
easy/3,easy,3,0.9591502778725953,0.6485781669616699
easy/4,easy,4,0.8643830515123703,0.7781890034675598
medium/0,medium,0,0.8846332558055122,0.9417527914047241
medium/1,medium,1,0.9185009278118388,0.47530487179756165
medium/2,medium,2,0.965995950758417,0.6840450167655945
medium/3,medium,3,0.22676428542859456,0.5417546629905701
medium/4,medium,4,0.9302815269053393,0.9184623956680298
hard/0,hard,0,0.9162521972739228,0.6690332889556885
hard/1,hard,1,0.22023123903657446,0.6802394390106201
hard/2,hard,2,0.5881013766691323,0.5846716165542603
hard/3,hard,3,0.9140823848965224,0.9119857549667358
hard/4,hard,4,0.9439955136964361,0.6752511262893677
